company_id,job_title,date,name_company,link_company
428416,SIRH Coordinator / Data Analyst RH H/F,2023-06-16,Oetker Collection,http://www.oetkercollection.com/
3276,Data Analyst - Working From Home,2023-05-13,Peroptyx,http://www.peroptyx.com/
21556,Stage Big Data Analyst – données opérationnelles avions F/H,2023-01-08,SAFRAN,http://www.safran-group.com/
24024,Data analyst indemnisation cdi h/f (CDI),2023-12-12,Gan Assurances,https://gan-eurocourtage.fr/
21556,DATA ANALYST F/H,2023-01-05,SAFRAN,http://www.safran-group.com/
430425,Data Analyst (H/F),2023-08-10,Atlas For Men,http://www.atlasformen.fr/
430506,Data Analyst at Barkyn,2023-07-20,Barkyn,https://www.barkyn.es/
26011,PMO & Engineering Data Analyst,2023-09-29,THALES,http://www.thalesgroup.com/
20952,Data Analyst- H/F/X,2023-12-25,Société Générale,http://www.societegenerale.com/
33151,Data Analyst-(H/F),2023-01-06,Sogecap,http://www.assurances.societegenerale.com/en/sogecap/
435374,Data Analyst H/F,2023-03-28,Omerin,http://www.groupe-omerin.com/
178287,Data analyst h/f (CDI),2023-03-30,Marine Nationale,https://www.etremarin.fr/
21556,Stage - DATA ANALYST - Reporting Supply Chain F/H,2023-10-31,SAFRAN,http://www.safran-group.com/
6362,Data Analyst F/H - Alternance,2023-06-10,EDF,http://www.edf.com/
41676,Data Analyst F/H,2023-03-17,AUCHAN RETAIL SERVICES,http://www.groupe-auchan.com/
43526,data analyst f/h (CDI),2023-09-01,Covea,http://www.covea.com/fr
440681,Alternance - Assistant Data Analyst H/F,2023-02-28,GROUPE ETAM,http://www.groupe-etam.com/
7745,Data Analyst,2023-03-02,Saint-Gobain,http://www.saint-gobain.com/
134914,DATA ANALYST EN CHARGE DE LA TRANSFORMATION NUMÉRIQUE H/F,2023-07-27,MARINE NATIONALE,https://www.etremarin.fr/
203321,Manager Conseil et Expertise Data,2023-12-11,Sodebo,http://www.sodebo.fr/
2209,Apprentissage - Data Analyst Finance H/F,2023-11-07,Groupama,http://www.groupama.com/
20952,Data Analyst Junior H/F-(H/F),2023-04-03,Société Générale,http://www.societegenerale.com/
58735,Data ingénieur/data analyste F/H,2023-06-18,Franprix,https://www.franprix.fr/
7102,Alternant - Data Analyst SQL H/F,2023-11-02,Amgen,http://www.amgen.com/
188103,Data analyste h/f,2023-11-07,Younited Credit,http://www.younited-credit.com/
453757,Data Analyst H/F,2023-04-07,Générale de Téléphone,http://www.generaledetelephone.com/
455090,Alternance Data Analyst (F/H),2023-04-27,Castorama,http://www.castorama.fr/
1152,Alternance - Verisure - Data Analyst H/F,2023-11-02,Verisure,http://www.verisure.com/
134914,Data analyst en charge de la transformation numérique h/f,2023-02-18,MARINE NATIONALE,https://www.etremarin.fr/
91117,Data Analyst - Europe Zone Luxe Division,2023-01-19,L’ORÉAL,http://www.loreal.com/
92478,Data Analyst,2023-02-04,Veolia,http://www.veolia.com/
8693,Alternant(e) Business Data Analyst RH,2023-04-14,Leroy Merlin,http://www.leroymerlin.com/
2209,Data analyst - Pilotage commercial et client H/F,2023-07-25,Groupama,http://www.groupama.com/
198653,Data Analyst-French,2023-11-02,Groupe Avril,http://www.groupeavril.com/
105105,Reporting & Data Analyst (m/f/d),2023-05-26,Sony Corporation,http://www.sony.com/
120867,Data Analyste H/F,2023-11-07,GLO Comms,http://www.glocomms.com/
71027,Business data analyst-(H/F),2023-07-01,Societe Generale Corporate and Investment Banking - SGCIB,http://www.sgcib.com/
63768,Data Analyst CDI H/F (Lille),2023-08-16,Econocom,http://www.econocom.com/
58660,Data Analyst H/F (CDI),2023-06-19,Engie,http://www.engie.com/
130367,Data Analyst Finances F/H,2023-11-02,LVMH Group,http://www.lvmh.com/
12245,SAP Master Data Analyst (French speaker),2023-02-02,Oxford Global Resources,http://www.oxfordcorp.com/
1072,Data Analyst Senior H/F (Rennes),2023-01-17,Capgemini,http://www.capgemini.com/
20952,Chargé d'étude achats trading fees - data analyst-(H/F),2023-04-20,Société Générale,http://www.societegenerale.com/
471662,Alternant Data Analyst / Scientist H/F,2023-06-07,lagardere,http://www.lagardere.com/
1861,Data analyste h/f,2023-11-02,SGS Société Générale de Surveillance SA,http://www.sgs.com/
474344,ALTERNANCE : DATA ANALYST EN BATIMENT H/F - ALT 23 - DATA LYON -30010,2023-04-09,Bouygues Bâtiment Sud Est,http://www.bouygues-construction.com/
4583,ApprenticeShip Data Analyst F/M,2023-07-13,Worldline,http://www.worldline.com/
81160,Stage Data Analyst Business SNCF,2023-02-09,Groupe SNCF,http://www.sncf.com/fr/groupe
123702,"Earth Observation Data Analysis, Image Processing and Software...",2023-01-17,Serco Group Plc,http://www.serco.com/
147443,Data analyst Finance H/F,2023-07-25,PRO BTP GROUPE,http://www.probtp.com/
59581,Data Analyst,2023-02-10,MAIF,http://www.maif.fr/
38019,Alternance - Data analyst H/F,2023-04-26,SPIE,http://www.spie.com/
278707,Data Analyst en alternance F/H,2023-05-25,PRO BTP Groupe,http://www.probtp.com/
374998,Analyst Master Data H/F,2023-11-02,Lesaffre Iberica SA,http://www.lesaffre.es/
484357,Data Analyst Emploi-Formation F/H,2023-11-02,Groupe Limagrain Holding,http://www.limagrain.com/
166480,Data Analyst,2023-09-29,AFDAS,https://www.afdas.com/
22373,Data Analyst,2023-03-18,Homa Games,https://www.homagames.com/
5050,Data Analyst,2023-12-27,Siemens Mobility,http://www.mobility.siemens.com/de/en.html
1152,Alternance : Data Analyst / Data Science F/H,2023-09-29,Verisure,http://www.verisure.com/
42400,Data Analyst H/F en télétravail,2023-09-29,VINCI,http://www.vinci.com/
38908,Data Analyst (H/F) en CDD / MissionMerignac,2023-02-15,ADECCO,http://www.adeccogroup.com/
21520,Analyst - Data Analyst,2023-12-22,Carrefour France,http://www.carrefour.com/
40734,Data Analyst,2023-04-04,Swiss Life,http://www.swisslife.com/
22942,Crédit Agricole Assurances: Data Analyst H/F,2023-09-29,Crédit Agricole Assurances,http://www.ca-assurances.com/
105048,Développeur DATA,2023-11-25,AB Tasty,http://www.abtasty.com/
6986,Data Analyste H/F,2023-11-25,"CBRE Group, Inc.",http://www.cbre.com/
3891,Data Analyst H/F,2023-09-29,Apside,http://www.apside.com/
203256,Finance Data Analyst,2023-02-25,American President Lines,http://www.apl.com/
47510,Data Analyste,2023-12-17,Crédit Agricole Group,http://www.credit-agricole.com/
8693,DATA ANALYST TECHNIQUE (F/H),2023-06-23,Leroy Merlin,http://www.leroymerlin.com/
458,Stage - DATA ANALYST MEDIA F/H,2023-09-29,Comcast,http://www.comcast.com/
335124,Internship : Master Data Analyst,2023-09-29,Balzac Paris,http://www.balzac-paris.fr/
3460,Stage - Data Analyst Compétences & Certifications F/H,2023-12-17,Orange SA,http://www.orange.com/
95755,Stage - Ynoveo - Data Analyst H/F,2023-04-29,Ynoveo,https://www.ynoveo.fr/
41676,Data Analyst F/H,2023-07-10,AUCHAN RETAIL SERVICES,http://www.groupe-auchan.com/
204535,Alternant - Data Analyst SQL H/F,2023-09-29,Groupe Cerise,http://www.groupecerise.fr/
134914,Data analyst en charge de la transformation numérique h/f,2023-05-24,MARINE NATIONALE,https://www.etremarin.fr/
79022,Data Analyst,2023-05-02,DCS Group,http://www.dcsgroup.com/
96,Data Analyst (H/F),2023-07-04,CGI,http://www.cgi.com/
14573,Assistant chef de projet Data analyst,2023-11-15,Societe Generale,http://www.societegenerale.com/
233765,Data analyst H/F,2023-10-12,Pôle Léonard de Vinci,https://www.devinci.fr/
95109,data analyst,2023-11-18,Setec,http://www.setec.fr/
2209,Alternance Data Analyst SAS,2023-04-16,Groupama,http://www.groupama.com/
2161,Consultant Data Analyst Power BI F/H,2023-08-21,Atos,http://www.atosconsulting.com/
515276,Data Analyst,2023-12-17,Groupe Pochet,http://www.groupe-pochet.fr/
279846,Business Data Expert,2023-10-14,VitalAire Canada Inc.,http://www.vitalaire.com/
42400,Ingénieur data analyst F/H,2023-01-11,VINCI,http://www.vinci.com/
34806,Data analyst H/F,2023-03-17,ELSAN,http://www.groupe-elsan.com/
7550,Alternance - Data Analyst ou Data Ingénieur (F/H),2023-08-21,Carrefour,http://www.carrefour.com/
38086,CDI - Ingénieur Data Analyst/Device - Amélioration de rendement,2023-12-22,ST Microelectronics,http://www.st.com/
4562,Alternance data Analyst,2023-08-21,Sopra Steria,http://www.sopragroup.com/
121722,Clinical Data analyst,2023-12-22,bioMérieux SA,http://www.biomerieux.com/
522755,PFE Data Analyst,2023-03-01,ENTECH,http://entech-se.com/
7102,Alternance - Amgen - Data analyst | Business intelligence H/F,2023-05-08,Amgen,http://www.amgen.com/
32144,Data Analyst,2023-09-12,Groupe Casino,http://www.groupe-casino.fr/
7550,Data analyst en alternance,2023-06-05,Carrefour,http://www.carrefour.com/
263375,Apprenti(e) – Data Analyst Performance Client H/F,2023-04-14,Air France-KLM,http://www.airfranceklm.com/
42400,Ingénieur data analyst F/H,2023-01-31,VINCI,http://www.vinci.com/
532068,Alternant Contrôleur de Gestion _ data analyst H/F,2023-08-06,ABMI,http://www.abmi-groupe.com/
51223,Data Analyst,2023-01-12,Crédit Mutuel ARKEA,http://www.arkea.com/
20952,Data Analyst(H/F),2023-04-16,Société Générale,http://www.societegenerale.com/
19339,Data Analyst Junior H/F,2023-11-29,Pôle Emploi,http://www.pole-emploi.fr/
47510,Data Analyst H/F,2023-06-06,Crédit Agricole Group,http://www.credit-agricole.com/
383420,alternance - assistant data analyst (h/f),2023-06-24,IKKS,http://www.ikks.com/
36063,Data Analyst,2023-10-31,Martin Brower France,http://martinbrower-ensemble.fr/
536616,CDI CHARGE(E) D'ETUDES CRM - DATA ANALYST F/H,2023-08-18,Groupe IKKS,http://www.ikks.com/
330411,Data Analyst,2023-11-29,Aramis Group,http://aamis.group/
210371,Data Analyst Gaz H/F,2023-07-26,URVIKA,http://www.urvika.com/
19339,consultant informatique Data,2023-10-29,Pôle Emploi,http://www.pole-emploi.fr/
28691,Alternance : Alternance - Data analyst Prévention Santé Sécurité H/F,2023-06-27,Bouygues,http://www.bouyguestelecom.fr/
18245,Data Science Analyst Internship,2023-12-09,Betclic Group,http://en.betclic.com/
9708,Data Analyst,2023-04-06,La Banque Postale,http://www.labanquepostale.com/
63361,Data Analyst H/F,2023-05-06,AKKA,http://www.akka-technologies.com/
36063,Business Data Analyst,2023-12-09,Martin Brower France,http://martinbrower-ensemble.fr/
20952,Data Analyst-(H/F),2023-06-15,Société Générale,http://www.societegenerale.com/
330461,Data Analyst H/F,2023-04-12,Credit Mutuel Arkea,http://www.arkea.com/
25816,"Data Analyst, GOOGLE DATA STUDIO",2023-01-30,K-LAGAN,http://www.k-lagan.com/
1125,Internship - Reporting %26 Data Analyst - (F/M) - (Job Number...,2023-08-12,AXA,http://www.axa.com/
32093,Data Analyst H/F,2023-04-27,PROXIAD,http://www.proxiad.com/
26118,Data Analyst,2023-07-28,Club Med,http://www.clubmed.com/
563653,Data Analyst (H/F),2023-05-02,GROUPE LIMAGRAIN,http://www.limagrain.com/
20325,Data Analyst-(H/F),2023-03-25,Société Générale Assurances,http://www.assurances.societegenerale.com/en/sogecap/
225451,STAGE - Data Analyst Connectivité (Radio / 5G / WiFi / V2X / GNSS),2023-10-27,Psa,http://www.peugeot-diplomates.com/
162701,Business Data Analyst,2023-04-06,Devis Group,http://www.devisgroup.be/
21520,Data analyst,2023-12-28,Carrefour France,http://www.carrefour.com/
74959,Internship : Master Data Analyst,2023-12-09,ACENSI,http://www.acensi.fr/
32093,DATA ANALYST H/F,2023-10-24,PROXIAD,http://www.proxiad.com/
103202,Stage - Client Service & Data Analyst H/F,2023-10-10,Amundi,http://www.amundi.com/
81160,Responsable Data Analyst,2023-11-07,Groupe SNCF,http://www.sncf.com/fr/groupe
21556,Stage - Développement & data analyse F/H,2023-11-06,SAFRAN,http://www.safran-group.com/
8366,Data Analyst (H/F),2023-02-09,ENGIE,http://www.engie.com/
38086,CDI - Ingénieur Data Analyst/Device - Amélioration de rendement,2023-12-21,ST Microelectronics,http://www.st.com/
203760,Ingénieur Data,2023-12-09,Brevo,http://www.sendinblue.com/
96,Stage consultant(e) Data analyst,2023-10-08,CGI,http://www.cgi.com/
3384,Apprenti Data-Analyst,2023-10-19,Air France,http://www.airfranceklm.com/
16555,Data Analyst et Concepteur Développeur F/H,2023-02-25,Enedis,http://www.enedis.fr/
7550,Stagiaire Data Analyst,2023-04-04,Carrefour,http://www.carrefour.com/
330398,Stage Energy Data Analyst,2023-11-24,GazelEnergie,https://gazelenergie.fr/
7758,DATA ANALYST H/F,2023-04-13,Credit Agricole,http://www.credit-agricole.com/
422,Privacy Data Analyst,2023-01-10,Majorel,http://www.majorel.com/
296269,Data Analyste (F/H),2023-11-27,Foodles,http://www.foodles.co/
202886,Data Analyst - Data Visualization,2023-06-16,Rolling Wireless,http://www.rollingwireless.com/
680,Data Analyst Supply Chain,2023-05-09,Capgemini Engineering,http://www.altran.com/
8693,DATA ANALYST - TECHNICAL EXPERT (F/H),2023-01-14,Leroy Merlin,http://www.leroymerlin.com/
43220,Head of data analytics,2023-09-11,SERVIER,http://www.servier.com/
587034,Pricing & data analyst,2023-10-07,"The Manitowoc Company, Inc.",http://www.manitowoc.com/
59581,master data analyst,2023-10-22,MAIF,http://www.maif.fr/
1861,Data Analyste CRM,2023-10-07,SGS Société Générale de Surveillance SA,http://www.sgs.com/
11592,Data Analyst Maintenance Repairs Overhaul - H/F,2023-03-28,Expleo Group,https://expleo.com/global/en/
